                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.2838,                  0.676,                 1.0489,                0.85248,                0.76248,                0.81547,                0.55589,                 1.3074,                  0.733,                 1.0826,              0.0007327,              0.0007327,              0.0007327
                     57,                 1.3031,                0.68463,                 1.0553,                0.85342,                0.75691,                0.80851,                0.55184,                 1.3004,                0.70451,                 1.0808,             0.00072775,             0.00072775,             0.00072775
                     58,                 1.2853,                0.66739,                 1.0411,                0.85789,                0.74807,                0.81006,                0.55447,                 1.3083,                0.70409,                 1.0793,              0.0007228,              0.0007228,              0.0007228
                     59,                 1.2809,                0.66227,                 1.0482,                0.84513,                0.75593,                0.81191,                0.55023,                 1.2888,                0.71172,                 1.0731,             0.00071785,             0.00071785,             0.00071785
                     60,                 1.2886,                0.66935,                 1.0405,                0.85472,                0.75313,                0.80863,                 0.5556,                 1.2965,                0.70253,                 1.0812,              0.0007129,              0.0007129,              0.0007129
                     61,                  1.287,                0.67526,                 1.0549,                0.85871,                0.74635,                0.81282,                0.56248,                 1.2887,                0.70179,                 1.0776,             0.00070795,             0.00070795,             0.00070795
                     62,                 1.2644,                0.66115,                  1.044,                 0.8717,                 0.7331,                0.81646,                0.56132,                  1.286,                0.70445,                 1.0796,               0.000703,               0.000703,               0.000703
                     63,                  1.277,                0.65643,                 1.0381,                0.88544,                0.71634,                  0.809,                0.55104,                 1.2893,                0.71051,                 1.0742,             0.00069805,             0.00069805,             0.00069805
                     64,                 1.2745,                0.66544,                 1.0396,                0.87439,                0.74799,                0.81237,                0.55571,                  1.276,                0.70401,                 1.0703,              0.0006931,              0.0006931,              0.0006931
                     65,                 1.2435,                0.66331,                 1.0445,                0.88415,                 0.7344,                0.81763,                  0.565,                 1.2692,                 0.6976,                  1.075,             0.00068815,             0.00068815,             0.00068815
                     66,                 1.2561,                0.64179,                 1.0319,                0.81999,                0.77575,                 0.8171,                0.55998,                 1.2782,                0.69686,                 1.0743,              0.0006832,              0.0006832,              0.0006832
                     67,                 1.2599,                0.64755,                 1.0414,                0.87849,                0.73658,                0.81307,                0.55937,                 1.2874,                 0.7016,                  1.077,             0.00067825,             0.00067825,             0.00067825
                     68,                 1.2523,                0.64219,                 1.0322,                0.88174,                0.72148,                0.80793,                0.55614,                 1.2867,                0.70191,                 1.0778,              0.0006733,              0.0006733,              0.0006733
                     69,                 1.2491,                0.63092,                 1.0287,                0.85909,                0.73316,                0.80876,                0.55388,                 1.2929,                0.71303,                  1.078,             0.00066835,             0.00066835,             0.00066835
                     70,                 1.2737,                0.65674,                 1.0423,                0.86166,                0.74506,                0.81205,                0.56008,                 1.2898,                0.69135,                 1.0805,              0.0006634,              0.0006634,              0.0006634
                     71,                 1.2827,                0.66673,                 1.0461,                0.88755,                0.72159,                0.80975,                0.55789,                   1.29,                0.68964,                 1.0783,             0.00065845,             0.00065845,             0.00065845
                     72,                 1.2469,                0.64068,                 1.0372,                0.83365,                0.77706,                0.81663,                0.56266,                 1.2823,                0.69514,                 1.0766,              0.0006535,              0.0006535,              0.0006535
                     73,                 1.2504,                0.64435,                 1.0295,                0.87391,                0.73258,                0.81286,                0.55575,                 1.2922,                0.68993,                 1.0767,             0.00064855,             0.00064855,             0.00064855
                     74,                 1.2507,                0.64441,                 1.0337,                0.83366,                 0.7784,                0.81328,                0.55922,                 1.2845,                0.68874,                 1.0776,              0.0006436,              0.0006436,              0.0006436
                     75,                 1.2192,                0.62535,                 1.0204,                0.78209,                0.78384,                0.81112,                 0.5595,                 1.2943,                 0.6966,                  1.086,             0.00063865,             0.00063865,             0.00063865
                     76,                 1.2344,                0.63061,                 1.0239,                0.81368,                0.76994,                0.81485,                0.55721,                 1.2855,                0.69419,                 1.0803,              0.0006337,              0.0006337,              0.0006337
                     77,                 1.2361,                0.63298,                 1.0243,                0.81668,                0.77916,                0.81114,                0.55825,                 1.2899,                0.68694,                 1.0817,             0.00062875,             0.00062875,             0.00062875
                     78,                 1.2068,                0.62152,                 1.0183,                0.87619,                0.75053,                0.81854,                0.55948,                 1.2894,                 0.6901,                 1.0782,              0.0006238,              0.0006238,              0.0006238
                     79,                 1.2385,                0.62626,                 1.0297,                0.83351,                0.77845,                0.82123,                0.55876,                 1.2906,                0.69728,                 1.0762,             0.00061885,             0.00061885,             0.00061885
                     80,                 1.2205,                0.63021,                 1.0264,                0.81772,                0.78058,                0.81569,                0.56497,                 1.2768,                0.69082,                 1.0779,              0.0006139,              0.0006139,              0.0006139
                     81,                 1.2139,                0.61962,                 1.0183,                0.90229,                0.72202,                0.81589,                 0.5592,                   1.29,                0.69601,                 1.0791,             0.00060895,             0.00060895,             0.00060895
                     82,                 1.2237,                0.62299,                 1.0295,                0.79179,                0.80011,                0.81639,                0.55776,                 1.2846,                0.69516,                 1.0791,               0.000604,               0.000604,               0.000604
                     83,                  1.213,                0.62037,                 1.0291,                0.86454,                0.75947,                0.81401,                0.56066,                  1.283,                0.69352,                 1.0773,             0.00059905,             0.00059905,             0.00059905
                     84,                 1.2124,                0.62601,                 1.0259,                0.85469,                0.77033,                0.81535,                0.56008,                 1.2936,                0.69174,                 1.0864,              0.0005941,              0.0005941,              0.0005941
                     85,                 1.2028,                0.61911,                 1.0188,                0.88109,                0.73873,                0.81142,                0.56134,                 1.2827,                0.69801,                 1.0772,             0.00058915,             0.00058915,             0.00058915
                     86,                 1.2269,                 0.6244,                 1.0234,                0.85783,                0.75503,                0.81177,                0.56083,                 1.2925,                0.69069,                 1.0829,              0.0005842,              0.0005842,              0.0005842
                     87,                  1.218,                0.62684,                  1.022,                0.86673,                0.74881,                 0.8087,                0.55892,                 1.2867,                 0.6922,                 1.0802,             0.00057925,             0.00057925,             0.00057925
                     88,                 1.2035,                0.61619,                 1.0089,                0.88036,                 0.7389,                 0.8104,                0.55495,                  1.302,                0.69713,                 1.0803,              0.0005743,              0.0005743,              0.0005743
                     89,                 1.1992,                0.62291,                 1.0239,                0.88344,                0.73628,                0.81442,                0.56639,                 1.2828,                 0.6897,                 1.0754,             0.00056935,             0.00056935,             0.00056935
                     90,                 1.2132,                0.61751,                 1.0153,                0.87303,                0.75765,                0.81849,                0.56774,                 1.2938,                0.69335,                 1.0769,              0.0005644,              0.0005644,              0.0005644
                     91,                 1.2047,                0.61082,                 1.0155,                0.88174,                0.73737,                0.80766,                0.56206,                 1.2803,                0.70194,                 1.0772,             0.00055945,             0.00055945,             0.00055945
                     92,                 1.1997,                0.61392,                 1.0172,                0.86125,                0.73694,                0.80798,                0.55766,                 1.2816,                0.69247,                 1.0784,              0.0005545,              0.0005545,              0.0005545
                     93,                 1.2196,                0.63088,                 1.0257,                0.85555,                0.76519,                0.81737,                0.56196,                 1.2779,                0.68946,                 1.0708,             0.00054955,             0.00054955,             0.00054955
